y,x1,x2
-873,-734,-139
-1480,-630,-850
-920,-551,-369
-1409,-650,-759
-1152,-774,-378
-1420,-965,-455
-1329,-684,-645
-1174,-539,-635
-936,-513,-423
-753,-323,-430
-1309,-795,-514
-652,-72,-580
-1628,-914,-714
-1084,-950,-134
-621,-433,-188
-700,-534,-166
-1285,-419,-866
-468,-452,-16
-1190,-885,-305
-1567,-665,-902
-1532,-654,-878
-366,-68,-298
-977,-103,-874
-1146,-267,-879
-1023,-224,-799
-991,-155,-836
-1628,-750,-878
-725,-210,-515
-1766,-812,-954
-360,-264,-96
-747,-457,-290
-1895,-1000,-895
-1468,-915,-553
-993,-377,-616
-1056,-99,-957
-577,-197,-380
-835,-652,-183
-580,-260,-320
-1413,-923,-490
-896,-71,-825
-212,-57,-155
-493,-245,-248
-1211,-591,-620
-1723,-768,-955
-914,-796,-118
-723,-161,-562
-1045,-408,-637
-1206,-995,-211
-1054,-396,-658
-1569,-621,-948
-357,-242,-115
-375,-47,-328
-1379,-572,-807
-1032,-603,-429
-1253,-271,-982
-766,-111,-655
-1339,-820,-519
-912,-850,-62
-1489,-843,-646
-949,-734,-215
-1732,-872,-860
-1296,-664,-632
-1017,-209,-808
-1359,-978,-381
-325,-310,-15
-1470,-719,-751
-1292,-891,-401
-611,-358,-253
-917,-414,-503
-1742,-778,-964
-993,-329,-664
-1300,-353,-947
-385,-158,-227
-1036,-284,-752
-546,-6,-540
-933,-194,-739
-888,-826,-62
-1379,-606,-773
-1394,-538,-856
-740,-348,-392
-438,-279,-159
-1568,-989,-579
-1412,-664,-748
-1108,-818,-290
-918,-683,-235
-1011,-675,-336
-392,-116,-276
-1009,-855,-154
-551,-337,-214
-579,-323,-256
-1078,-364,-714
-1137,-989,-148
-292,-286,-6
-1600,-858,-742
-1431,-798,-633
-807,-676,-131
-585,-579,-6
-670,-373,-297
-716,-255,-461
-846,-14,-832
-330,-153,-177
-1695,-724,-971
-571,-165,-406
-644,-469,-175
-1631,-690,-941
-1557,-951,-606
-1538,-703,-835
-693,-475,-218
-1154,-333,-821
-414,-108,-306
-408,-135,-273
-1334,-431,-903
-1976,-987,-989
-962,-819,-143
-420,-84,-336
-1859,-982,-877
-450,-398,-52
-1364,-495,-869
-616,-525,-91
-370,-36,-334
-1302,-561,-741
-1135,-754,-381
-1213,-648,-565
-1987,-994,-993
-1927,-936,-991
-1271,-577,-694
-734,-247,-487
-1613,-618,-995
-1182,-244,-938
-438,-372,-66
-1086,-902,-184
-1207,-391,-816
-1613,-783,-830
-754,-563,-191
-1558,-832,-726
-957,-86,-871
-45,-6,-39
-929,-147,-782
-1554,-996,-558
-1114,-513,-601
-496,-254,-242
-597,-7,-590
-968,-408,-560
-896,-704,-192
-1635,-636,-999
-670,-329,-341
-1555,-887,-668
-1250,-446,-804
-310,-152,-158
-1093,-299,-794
-1439,-872,-567
-1630,-786,-844
-492,-167,-325
-1146,-314,-832
-641,-477,-164
-1659,-951,-708
-775,-324,-451
-1419,-701,-718
-1479,-723,-756
-791,-614,-177
-695,-229,-466
-859,-36,-823
-1170,-361,-809
-751,-505,-246
-708,-455,-253
-1693,-952,-741
-929,-629,-300
-1433,-627,-806
-628,-493,-135
-1038,-844,-194
-902,-7,-895
-817,-176,-641
-986,-837,-149
-1337,-746,-591
-1170,-171,-999
-640,-395,-245
-1192,-228,-964
-825,-24,-801
-950,-417,-533
-1569,-914,-655
-475,-284,-191
-643,-61,-582
-795,-275,-520
-801,-389,-412
-635,-590,-45
-799,-218,-581
-493,-103,-390
-858,-375,-483
-1533,-777,-756
-1315,-448,-867
-1190,-205,-985
-1687,-924,-763
-729,-26,-703
-999,-812,-187
-1139,-343,-796
-322,-95,-227
-1075,-319,-756
-577,-310,-267
-1351,-432,-919
-1078,-991,-87
-430,-144,-286
-1540,-751,-789
-829,-141,-688
-431,-401,-30
-713,-273,-440
-515,-152,-363
-404,-120,-284
-1620,-872,-748
-521,-324,-197
-833,-80,-753
-942,-145,-797
-241,-187,-54
-998,-990,-8
-1254,-326,-928
-614,-62,-552
-1155,-825,-330
-377,-264,-113
-989,-833,-156
-584,-219,-365
-413,-236,-177
-1132,-344,-788
-818,-45,-773
-1579,-661,-918
-799,-740,-59
-1299,-812,-487
-1295,-433,-862
-1267,-552,-715
-450,-272,-178
-1237,-681,-556
-1821,-890,-931
-1241,-614,-627
-695,-22,-673
-1598,-650,-948
-213,-156,-57
-419,-246,-173
-1098,-945,-153
-1420,-952,-468
-1053,-210,-843
-942,-535,-407
-206,-64,-142
-294,-103,-191
-821,-56,-765
-424,-336,-88
-768,-306,-462
-1258,-552,-706
-1233,-994,-239
-1096,-214,-882
-1561,-986,-575
-406,-3,-403
-999,-848,-151
-501,-88,-413
-1092,-970,-122
-734,-549,-185
-546,-18,-528
-1005,-462,-543
-1279,-849,-430
-1100,-986,-114
-1624,-806,-818
-769,-242,-527
-731,-51,-680
-634,-410,-224
-399,-279,-120
-364,-37,-327
-1272,-764,-508
-1273,-986,-287
-628,-547,-81
-1633,-956,-677
-744,-278,-466
-1474,-590,-884
-1059,-905,-154
-1262,-354,-908
-1432,-945,-487
-587,-173,-414
-1309,-924,-385
-711,-10,-701
-1360,-612,-748
-569,-277,-292
-1470,-639,-831
-1524,-983,-541
-984,-821,-163
-509,-18,-491
-694,-257,-437
-1040,-641,-399
-782,-320,-462
-769,-296,-473
-856,-620,-236
-766,-232,-534
-1045,-940,-105
-1054,-877,-177
-849,-652,-197
-480,-181,-299
-1510,-613,-897
-1375,-828,-547
-855,-618,-237
-524,-194,-330
-682,-470,-212
-1005,-770,-235
-961,-737,-224
-951,-773,-178
-1383,-497,-886
-832,-738,-94
-647,-150,-497
-1620,-714,-906
-1048,-674,-374
-990,-265,-725
-607,-188,-419
-1745,-942,-803
-602,-412,-190
-1399,-743,-656
-1486,-897,-589
-428,-188,-240
-1609,-977,-632
-799,-177,-622
-1083,-716,-367
-685,-545,-140
-734,-138,-596
-1145,-642,-503
-1200,-232,-968
-612,-371,-241
-574,-114,-460
-515,-344,-171
-1614,-669,-945
-1137,-222,-915
-1086,-1000,-86
-1149,-386,-763
-1026,-756,-270
-567,-545,-22
-853,-61,-792
-1607,-713,-894
-1142,-766,-376
-636,-279,-357
-512,-125,-387
-770,-428,-342
-777,-616,-161
-1385,-523,-862
-1683,-724,-959
-1025,-642,-383
-712,-73,-639
-476,-171,-305
-683,-141,-542
-1604,-708,-896
-1033,-356,-677
-1045,-778,-267
-1785,-953,-832
-1446,-801,-645
-1428,-734,-694
-1644,-752,-892
-1234,-274,-960
-666,-365,-301
-1208,-388,-820
-266,-204,-62
-610,-62,-548
-617,-279,-338
-1269,-802,-467
-1071,-411,-660
-1298,-968,-330
-1493,-729,-764
-1102,-173,-929
-1092,-978,-114
-1362,-574,-788
-1341,-630,-711
-803,-498,-305
-700,-99,-601
-966,-508,-458
-436,-319,-117
-1279,-899,-380
-1623,-635,-988
-661,-435,-226
-626,-621,-5
-663,-592,-71
-1000,-930,-70
-1732,-984,-748
-1481,-703,-778
-1027,-958,-69
-1329,-998,-331
-989,-434,-555
-202,-153,-49
-798,-670,-128
-1633,-754,-879
-940,-249,-691
-751,-667,-84
-1365,-543,-822
-225,-106,-119
-934,-573,-361
-1330,-440,-890
-543,-55,-488
-1508,-545,-963
-1026,-514,-512
-812,-177,-635
-772,-484,-288
-1064,-409,-655
-717,-377,-340
-719,-516,-203
-1039,-548,-491
-585,-423,-162
-926,-270,-656
-1269,-666,-603
-490,-39,-451
-376,-110,-266
-861,-477,-384
-407,-79,-328
-1615,-955,-660
-463,-32,-431
-1174,-296,-878
-431,-51,-380
-1327,-667,-660
-673,-413,-260
-392,-15,-377
-1065,-734,-331
-1240,-387,-853
-1103,-890,-213
-1475,-863,-612
-802,-36,-766
-921,-262,-659
-1877,-916,-961
-1337,-851,-486
-1028,-479,-549
-1319,-570,-749
-906,-450,-456
-1623,-852,-771
-869,-120,-749
-468,-54,-414
-1459,-547,-912
-657,-197,-460
-292,-85,-207
-830,-476,-354
-965,-666,-299
-284,-243,-41
-1259,-783,-476
-1751,-765,-986
-1048,-700,-348
-848,-396,-452
-918,-211,-707
-754,-466,-288
-894,-246,-648
-573,-67,-506
-975,-346,-629
-566,-55,-511
-757,-748,-9
-1034,-96,-938
-963,-449,-514
-959,-297,-662
-1355,-722,-633
-1004,-653,-351
-1351,-692,-659
-726,-219,-507
-1879,-977,-902
-1343,-392,-951
-1100,-751,-349
-276,-71,-205
-847,-816,-31
-530,-29,-501
-964,-839,-125
-887,-522,-365
-702,-288,-414
-1330,-566,-764
-1381,-799,-582
-1138,-267,-871
-1465,-772,-693
-994,-903,-91
-1491,-754,-737
-1312,-740,-572
-1033,-553,-480
-1253,-616,-637
-1464,-626,-838
-1008,-444,-564
-940,-196,-744
-859,-826,-33
-985,-208,-777
-644,-280,-364
-535,-127,-408
-647,-402,-245
-901,-791,-110
-1307,-885,-422
-1538,-822,-716
-470,-243,-227
-1847,-974,-873
-250,-85,-165
-1519,-801,-718
-1718,-817,-901
-1118,-494,-624
-801,-382,-419
-1145,-553,-592
-901,-72,-829
-230,-103,-127
-1474,-916,-558
-1197,-993,-204
-645,-242,-403
-722,-559,-163
-846,-125,-721
-1036,-947,-89
-579,-149,-430
-1633,-919,-714
-491,-241,-250
-1162,-657,-505
-859,-75,-784
-1144,-306,-838
-1409,-798,-611
-1164,-974,-190
-732,-725,-7
-1732,-995,-737
-1144,-194,-950
-324,-13,-311
-904,-471,-433
-1382,-985,-397
-1535,-907,-628
-1255,-363,-892
-999,-699,-300
-1740,-809,-931
-1311,-511,-800
-1057,-778,-279
-530,-62,-468
-804,-740,-64
-1106,-874,-232
-717,-226,-491
-783,-341,-442
-372,-209,-163
-206,-93,-113
-983,-710,-273
-709,-615,-94
-1081,-103,-978
-1181,-960,-221
-1006,-391,-615
-1776,-804,-972
-1651,-749,-902
-1519,-794,-725
-313,-28,-285
-1425,-440,-985
-236,-78,-158
-1919,-931,-988
-99,-46,-53
-1342,-992,-350
-590,-267,-323
-794,-760,-34
-1309,-497,-812
-488,-91,-397
-930,-854,-76
-1165,-272,-893
-666,-630,-36
-1312,-345,-967
-1049,-712,-337
-1185,-526,-659
-1125,-204,-921
-863,-600,-263
-1096,-621,-475
-1694,-767,-927
-1262,-700,-562
-603,-233,-370
-1064,-884,-180
-910,-401,-509
-994,-835,-159
-995,-14,-981
-1365,-408,-957
-575,-288,-287
-667,-493,-174
-457,-371,-86
-698,-442,-256
-1847,-917,-930
-1778,-830,-948
-948,-283,-665
-1025,-301,-724
-777,-286,-491
-555,-37,-518
-1895,-952,-943
-724,-583,-141
-1169,-407,-762
-1641,-980,-661
-452,-338,-114
-1215,-833,-382
-1562,-976,-586
-1442,-775,-667
-1428,-629,-799
-829,-339,-490
-830,-687,-143
-890,-239,-651
-970,-287,-683
-1252,-782,-470
-1656,-706,-950
-511,-67,-444
-1308,-900,-408
-1291,-862,-429
-1598,-653,-945
-1004,-33,-971
-611,-535,-76
-1184,-774,-410
-1023,-416,-607
-1002,-487,-515
-1058,-920,-138
-1079,-576,-503
-1174,-996,-178
-997,-360,-637
-1125,-216,-909
-1113,-731,-382
-916,-760,-156
-942,-462,-480
-506,-85,-421
-710,-114,-596
-557,-398,-159
-1364,-845,-519
-253,-184,-69
-1324,-574,-750
-1653,-670,-983
-1664,-701,-963
-829,-297,-532
-1622,-995,-627
-526,-238,-288
-905,-796,-109
-1102,-619,-483
-1409,-809,-600
-314,-131,-183
-706,-337,-369
-1773,-815,-958
-1488,-735,-753
-1355,-887,-468
-997,-597,-400
-1710,-936,-774
-1098,-973,-125
-986,-857,-129
-781,-115,-666
-1298,-853,-445
-1341,-891,-450
-1754,-871,-883
-763,-78,-685
-872,-838,-34
-920,-545,-375
-745,-83,-662
-1395,-496,-899
-785,-284,-501
-1354,-526,-828
-955,-804,-151
-924,-224,-700
-489,-307,-182
-1063,-215,-848
-772,-676,-96
-976,-183,-793
-593,-482,-111
-1004,-612,-392
-915,-187,-728
-742,-298,-444
-1036,-416,-620
-942,-407,-535
-598,-133,-465
-1060,-591,-469
-747,-428,-319
-695,-635,-60
-978,-531,-447
-1220,-902,-318
-1152,-812,-340
-1774,-812,-962
-542,-308,-234
-582,-156,-426
-1592,-844,-748
-676,-434,-242
-592,-370,-222
-576,-6,-570
-933,-195,-738
-983,-961,-22
-1042,-190,-852
-1455,-960,-495
-776,-571,-205
-895,-892,-3
-1448,-720,-728
-791,-148,-643
-1621,-737,-884
-686,-344,-342
-996,-975,-21
-921,-612,-309
-876,-37,-839
-253,-131,-122
-578,-66,-512
-861,-734,-127
-1739,-765,-974
-783,-37,-746
-1401,-592,-809
-457,-259,-198
-1396,-804,-592
-1820,-864,-956
-987,-193,-794
-244,-215,-29
-903,-492,-411
-328,-257,-71
-941,-135,-806
-999,-868,-131
-937,-592,-345
-1031,-272,-759
-916,-191,-725
-1268,-730,-538
-945,-622,-323
-1140,-691,-449
-242,-120,-122
-1130,-175,-955
-1233,-522,-711
-1790,-916,-874
-1149,-869,-280
-854,-538,-316
-1606,-811,-795
-918,-824,-94
-1424,-603,-821
-1410,-645,-765
-834,-679,-155
-1142,-329,-813
-1211,-339,-872
-1165,-557,-608
-796,-632,-164
-336,-236,-100
-1418,-902,-516
-1265,-839,-426
-1124,-292,-832
-761,-270,-491
-290,-133,-157
-1041,-973,-68
-1407,-504,-903
-350,-247,-103
-1913,-946,-967
-1679,-998,-681
-1156,-837,-319
-675,-519,-156
-1254,-743,-511
-1831,-841,-990
-470,-293,-177
-1292,-370,-922
-1223,-549,-674
-860,-261,-599
-1088,-757,-331
-1355,-706,-649
-846,-710,-136
-893,-359,-534
-1862,-903,-959
-371,-236,-135
-730,-81,-649
-1386,-713,-673
-1007,-38,-969
-720,-264,-456
-528,-188,-340
-1856,-929,-927
-897,-794,-103
-1124,-468,-656
-759,-743,-16
-1581,-836,-745
-1103,-747,-356
-813,-24,-789
-1127,-582,-545
-1112,-255,-857
-1058,-869,-189
-1516,-660,-856
-1428,-638,-790
-910,-364,-546
-1831,-954,-877
-644,-133,-511
-455,-386,-69
-1750,-993,-757
-569,-199,-370
-381,-306,-75
-1406,-409,-997
-1341,-947,-394
-841,-358,-483
-1758,-898,-860
-1086,-175,-911
-1086,-584,-502
-1049,-802,-247
-871,-118,-753
-325,-174,-151
-1169,-614,-555
-963,-414,-549
-1428,-900,-528
-838,-605,-233
-1921,-955,-966
-844,-454,-390
-468,-384,-84
-1412,-850,-562
-210,-174,-36
-804,-782,-22
-1564,-962,-602
-1278,-445,-833
-1277,-746,-531
-1044,-984,-60
-152,-116,-36
-778,-472,-306
-804,-246,-558
-1069,-577,-492
-1062,-248,-814
-701,-267,-434
-645,-261,-384
-872,-129,-743
-1011,-905,-106
-981,-748,-233
-1023,-95,-928
-1804,-839,-965
-1196,-469,-727
-928,-173,-755
-1008,-775,-233
-1168,-402,-766
-586,-82,-504
-977,-784,-193
-1420,-442,-978
-1345,-581,-764
-742,-576,-166
-953,-938,-15
-902,-635,-267
-491,-154,-337
-1499,-926,-573
-921,-397,-524
-956,-742,-214
-824,-435,-389
-789,-679,-110
-1403,-652,-751
-1299,-341,-958
-1051,-140,-911
-890,-292,-598
-1116,-298,-818
-535,-78,-457
-986,-646,-340
-1008,-718,-290
-1024,-972,-52
-1542,-861,-681
-308,-99,-209
-923,-518,-405
-928,-800,-128
-1097,-161,-936
-887,-457,-430
-1671,-903,-768
-1452,-945,-507
-1676,-906,-770
-893,-873,-20
-857,-418,-439
-672,-41,-631
-964,-889,-75
-981,-661,-320
-1150,-228,-922
-1403,-609,-794
-676,-564,-112
-1072,-275,-797
-514,-3,-511
-1532,-677,-855
-740,-660,-80
-946,-411,-535
-678,-198,-480
-871,-521,-350
-762,-455,-307
-1123,-765,-358
-1502,-946,-556
-1334,-457,-877
-532,-141,-391
-1494,-613,-881
-793,-191,-602
-875,-95,-780
-701,-606,-95
-1010,-308,-702
-893,-223,-670
-664,-85,-579
-1638,-809,-829
-1068,-171,-897
-996,-139,-857
-663,-612,-51
-384,-3,-381
-1130,-886,-244
-604,-578,-26
-362,-63,-299
-1503,-925,-578
-515,-185,-330
-795,-676,-119
-337,-271,-66
-853,-422,-431
-765,-653,-112
-1411,-776,-635
-1292,-949,-343
-571,-226,-345
-775,-143,-632
-1344,-489,-855
-1083,-902,-181
-1345,-744,-601
-720,-304,-416
-1146,-195,-951
-342,-11,-331
-964,-411,-553
-553,-288,-265
-563,-398,-165
-967,-414,-553
-1325,-715,-610
-1173,-882,-291
-1013,-29,-984
-995,-830,-165
-1283,-647,-636
-629,-268,-361
-263,-237,-26
-770,-104,-666
-1942,-997,-945
-821,-153,-668
-307,-78,-229
-884,-717,-167
-1129,-588,-541
-1045,-803,-242
-1697,-967,-730
-1363,-636,-727
-967,-549,-418
-926,-245,-681
-1317,-800,-517
-392,-153,-239
-1059,-922,-137
-1245,-409,-836
-117,-69,-48
-266,-55,-211
-845,-180,-665
-836,-578,-258
-1468,-589,-879
-1046,-125,-921
-1387,-563,-824
-972,-148,-824
-1515,-634,-881
-464,-330,-134
-978,-493,-485
-956,-278,-678
-670,-211,-459
-937,-412,-525
-1224,-679,-545
-599,-114,-485
-697,-317,-380
-1084,-804,-280
-1207,-313,-894
-739,-305,-434
-1517,-869,-648
-1330,-641,-689
-630,-355,-275
-1360,-602,-758
-1007,-375,-632
-1342,-366,-976
-1096,-554,-542
-965,-699,-266
-727,-186,-541
-829,-235,-594
-1323,-969,-354
-773,-517,-256
-458,-12,-446
-1517,-623,-894
-1761,-811,-950
-537,-52,-485
-1467,-720,-747
-1482,-958,-524
-1446,-882,-564
-1494,-668,-826
-593,-4,-589
-1731,-839,-892
-702,-142,-560
-905,-254,-651
-1151,-815,-336
-1098,-191,-907
-482,-353,-129
-457,-245,-212
-919,-445,-474
-1020,-956,-64
-1175,-216,-959
-1054,-587,-467
-608,-426,-182
-1202,-981,-221
-530,-239,-291
-730,-573,-157
-634,-63,-571
-676,-623,-53
-728,-379,-349
-916,-624,-292
-427,-214,-213
-1415,-835,-580
-877,-103,-774
-726,-508,-218
-1295,-910,-385
-860,-800,-60
-547,-338,-209
-671,-592,-79
-924,-635,-289
-711,-23,-688
-1367,-599,-768
-1187,-188,-999
-320,-10,-310
-1761,-877,-884
-1204,-255,-949
-968,-769,-199
-937,-488,-449
-1844,-878,-966
-1494,-712,-782
-293,-146,-147
-919,-863,-56
-861,-607,-254
-567,-442,-125
-769,-397,-372
-409,-403,-6
-711,-219,-492
-1172,-902,-270
-820,-4,-816
-1093,-794,-299
-1018,-431,-587
-654,-136,-518
-970,-496,-474
-1696,-910,-786
-1823,-990,-833
-1601,-622,-979
-582,-436,-146
-1097,-376,-721
-1195,-783,-412
-1199,-248,-951
-117,-109,-8
-1042,-208,-834
-675,-392,-283
-1011,-798,-213
-1747,-802,-945
-513,-264,-249
-488,-3,-485
-1474,-720,-754
-1298,-998,-300
-304,-274,-30
-1064,-703,-361
-1016,-106,-910
-1109,-201,-908
-986,-766,-220
-1070,-748,-322
-1250,-356,-894
-667,-112,-555
-92,-82,-10
-1413,-950,-463
-1581,-903,-678
-832,-632,-200
-983,-461,-522
-295,-177,-118
-1162,-714,-448
-295,-136,-159
-1838,-912,-926
-1183,-689,-494
-806,-290,-516
-1154,-760,-394
-605,-182,-423
-1090,-864,-226
-585,-252,-333
-607,-496,-111
-125,-94,-31
-1030,-438,-592
-1550,-781,-769
-1301,-691,-610
-1917,-964,-953
-676,-580,-96
-32,-22,-10
-223,-141,-82
-1364,-683,-681
-697,-483,-214
-876,-477,-399
-1444,-489,-955
-200,-119,-81
-1435,-444,-991
-502,-225,-277
-1122,-300,-822
-1294,-872,-422
-1560,-991,-569
-987,-42,-945
-1228,-351,-877
-931,-293,-638
-1634,-895,-739
-485,-9,-476
-460,-295,-165
-464,-202,-262
-1035,-858,-177
-1242,-328,-914
-465,-36,-429
-767,-45,-722
-1582,-995,-587
-699,-39,-660
-348,-74,-274
-682,-539,-143
-601,-181,-420
-779,-4,-775
-1866,-883,-983
-856,-331,-525
-1014,-775,-239
-471,-3,-468
-1594,-900,-694
-717,-21,-696
-1223,-235,-988
-925,-118,-807
-555,-79,-476
-516,-157,-359
-1502,-531,-971
-1341,-601,-740
-1797,-974,-823
-375,-277,-98
-1044,-388,-656
-824,-64,-760
-1134,-245,-889
-466,-352,-114
-680,-663,-17
-1307,-329,-978
-233,-33,-200
-832,-357,-475
-614,-211,-403
-686,-15,-671
-288,-209,-79
-1450,-805,-645
-1440,-694,-746
-1601,-867,-734
-1505,-873,-632
-848,-89,-759
-1530,-616,-914
-684,-460,-224
-1189,-475,-714
-392,-380,-12
-799,-276,-523
-901,-70,-831
-1117,-721,-396
-903,-518,-385
-1341,-703,-638
-953,-436,-517
-1318,-453,-865
-1270,-674,-596
-370,-319,-51
-832,-391,-441
-437,-173,-264
-690,-185,-505
-1251,-837,-414
-1268,-861,-407
-1536,-729,-807
-1381,-439,-942
-1418,-484,-934
-1048,-965,-83
-614,-149,-465
-1180,-816,-364
-1175,-984,-191
-1118,-510,-608
-897,-35,-862
-1572,-889,-683
-1650,-976,-674
-560,-393,-167
-1673,-799,-874
-1038,-320,-718
-675,-251,-424
-1330,-971,-359
-1698,-945,-753
-1144,-172,-972
-1201,-692,-509
-1169,-933,-236
-934,-825,-109
-579,-281,-298
-1317,-476,-841
-943,-505,-438
-1187,-583,-604
-1113,-830,-283
-817,-81,-736
-1453,-757,-696
-1417,-617,-800
-1771,-967,-804
-1263,-828,-435
-1269,-407,-862
-989,-727,-262
-1255,-714,-541
-1782,-807,-975
-681,-482,-199
-1306,-630,-676
-1568,-934,-634
-240,-90,-150
-1866,-973,-893
-1132,-729,-403
-469,-11,-458
-729,-456,-273
-1319,-507,-812
-1302,-860,-442
-1013,-466,-547
-1237,-459,-778
-1529,-712,-817
-858,-610,-248
-1328,-599,-729
-851,-63,-788
-1126,-786,-340
-811,-548,-263
-294,-263,-31
-1275,-446,-829
-1036,-498,-538
-973,-401,-572
-708,-305,-403
-1813,-963,-850
-1514,-994,-520
-719,-86,-633
-667,-133,-534
-1417,-629,-788
-736,-522,-214
-812,-685,-127
-1266,-466,-800
-1766,-935,-831
-605,-341,-264
-1052,-604,-448
-714,-451,-263
-989,-395,-594
-905,-551,-354
-854,-815,-39
-597,-385,-212
-1031,-847,-184
-1217,-796,-421
-322,-5,-317
-1263,-532,-731
-666,-479,-187
-1020,-830,-190
-1026,-487,-539
-1233,-338,-895
-1389,-533,-856
-1375,-751,-624
-1466,-991,-475
-1819,-942,-877
-839,-748,-91
-1255,-561,-694
-944,-698,-246
-1490,-571,-919
-721,-496,-225
-1349,-359,-990
-1143,-687,-456
-1123,-402,-721
-752,-102,-650
-1235,-689,-546
-520,-262,-258
-873,-642,-231
-163,-49,-114
-1910,-929,-981
-1295,-692,-603
-726,-266,-460
-1139,-534,-605
-1382,-483,-899
-1394,-406,-988
-668,-570,-98
-856,-414,-442
-1519,-527,-992
-850,-743,-107
-701,-578,-123
-1733,-765,-968
-1529,-909,-620
-341,-146,-195
-915,-41,-874
-1766,-993,-773
-834,-306,-528
-880,-230,-650
-958,-303,-655
-528,-346,-182
-960,-142,-818
-1148,-817,-331
-1592,-708,-884
-469,-47,-422
-1029,-679,-350
-787,-662,-125
-920,-162,-758
-1449,-695,-754
-608,-223,-385
-1305,-857,-448
-508,-176,-332
-1461,-517,-944
-1522,-975,-547
-517,-92,-425
-1192,-333,-859
-1264,-600,-664
-558,-502,-56
-919,-847,-72
-880,-31,-849
-514,-506,-8
-1419,-952,-467
-1356,-824,-532
-895,-342,-553
-157,-94,-63
-747,-440,-307
-1339,-955,-384
-1186,-853,-333
-622,-540,-82
-1355,-771,-584
-855,-83,-772
-668,-269,-399
-774,-344,-430
-669,-126,-543
-1312,-501,-811
-893,-859,-34
-1126,-397,-729
-1109,-504,-605
-1666,-860,-806
-681,-69,-612
-1224,-475,-749
-785,-693,-92
-1785,-911,-874
-533,-55,-478
-1077,-107,-970
-184,-87,-97
-930,-288,-642
-839,-424,-415
-419,-235,-184
-913,-347,-566
-526,-229,-297
-1572,-611,-961
-1327,-422,-905
-853,-231,-622
-1487,-975,-512
-1112,-635,-477
-877,-358,-519
-1143,-918,-225
-556,-527,-29
-1104,-548,-556
-825,-419,-406
-599,-226,-373
-1655,-656,-999
-779,-367,-412
-1114,-396,-718
-1086,-943,-143
-199,-29,-170
-334,-222,-112
-642,-547,-95
-1515,-990,-525
-768,-49,-719
-619,-271,-348
-904,-579,-325
-1770,-998,-772
-826,-506,-320
-1051,-84,-967
-1413,-941,-472
-1497,-911,-586
-1269,-403,-866
-425,-169,-256
-558,-506,-52
-294,-287,-7
-517,-201,-316
-1364,-624,-740
-1711,-837,-874
-820,-540,-280
-1366,-879,-487
-496,-45,-451
-1093,-120,-973
-1423,-602,-821
-1494,-885,-609
-1531,-561,-970
-1468,-831,-637
-1922,-929,-993
-1414,-769,-645
-1472,-617,-855
-615,-578,-37
-555,-422,-133
-1345,-833,-512
-651,-325,-326
-1295,-614,-681
-801,-707,-94
-1250,-344,-906
-1386,-992,-394
-908,-835,-73
-319,-115,-204
-1082,-659,-423
-731,-121,-610
-360,-234,-126
-408,-95,-313
-1358,-986,-372
-781,-613,-168
-1535,-753,-782
-1165,-170,-995
-1469,-796,-673
-725,-221,-504
-1251,-832,-419
-546,-306,-240
-334,-122,-212
-1018,-523,-495
-1754,-916,-838
-1067,-821,-246
-700,-319,-381
-1166,-332,-834
-256,-222,-34
-798,-42,-756
-732,-282,-450
-384,-330,-54
-1402,-925,-477
